,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
96,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
97,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,Prefer not to answer,South Atlantic
98,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
99,Somewhat worried,Extremely worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,30 - 44,Male,"$0 to $9,999",Pacific
100,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
101,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,30 - 44,Male,"$0 to $9,999",East North Central
102,Somewhat worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",West South Central
103,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$25,000 to $49,999",East South Central
104,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",Mountain
105,Very worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",West North Central
106,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Male,Prefer not to answer,Middle Atlantic
107,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Not so familiar,Not at all familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
108,Not so worried,Somewhat worried,Yes,No,No,Very familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",Middle Atlantic
109,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",West South Central
110,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",South Atlantic
111,Not so worried,Not so worried,Yes,No,No,Not so familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",East North Central
112,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$25,000 to $49,999",East South Central
113,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Very familiar,45 - 59,Male,"$10,000 to $24,999",East North Central
114,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",Pacific
115,Somewhat worried,Somewhat worried,No,No,Yes,Not so familiar,Somewhat familiar,45 - 59,Male,"$150,000 to $174,999",Pacific
116,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Male,"$50,000 to $74,999",West North Central
117,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Male,"$75,000 to $99,999",Mountain
118,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Not so familiar,30 - 44,Male,"$25,000 to $49,999",South Atlantic
119,Extremely worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
120,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,Prefer not to answer,East North Central
121,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Extremely familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",East South Central
122,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Male,"$200,000 and up",Pacific
123,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$125,000 to $149,999",West South Central
124,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,60,Male,"$25,000 to $49,999",Pacific
125,Very worried,Very worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$75,000 to $99,999",Pacific
126,Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$50,000 to $74,999",Mountain
127,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$100,000 to $124,999",East North Central
128,Not at all worried,Not at all worried,No,No,Yes,Very familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",West South Central
129,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",East North Central
130,Not so worried,Not so worried,Yes,No,No,Not so familiar,Not so familiar,18 - 29,Male,"$0 to $9,999",South Atlantic
131,Not at all worried,Not at all worried,No,No,Yes,Very familiar,Not so familiar,30 - 44,Male,"$0 to $9,999",South Atlantic
132,Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,West South Central
133,Not at all worried,Not at all worried,No,No,No,Very familiar,Not at all familiar,60,Male,"$0 to $9,999",Mountain
134,Not so worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Very familiar,60,Male,"$25,000 to $49,999",Pacific
135,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
136,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$50,000 to $74,999",Mountain
137,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Male,"$25,000 to $49,999",Mountain
138,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not so familiar,60,Male,"$75,000 to $99,999",Mountain
139,Not at all worried,Not so worried,No,No,No,Very familiar,Very familiar,60,Male,"$50,000 to $74,999",West North Central
140,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",West South Central
141,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,60,Male,"$75,000 to $99,999",Pacific
142,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$75,000 to $99,999",
143,Somewhat worried,Somewhat worried,No,No,No,Extremely familiar,Extremely familiar,45 - 59,Male,"$75,000 to $99,999",West North Central
144,Very worried,Very worried,Yes,"Yes, one or more major ones",No,Not so familiar,Not at all familiar,30 - 44,Male,"$50,000 to $74,999",
145,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
146,Very worried,Very worried,Yes,"Yes, one or more major ones",No,Very familiar,Very familiar,60,Male,"$100,000 to $124,999",Pacific
147,Not at all worried,Not so worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",West North Central
148,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Extremely familiar,60,Male,"$200,000 and up",Mountain
149,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$25,000 to $49,999",South Atlantic
150,Not so worried,Somewhat worried,Yes,No,No,Very familiar,Very familiar,45 - 59,Male,"$200,000 and up",East South Central
151,Not at all worried,Not at all worried,No,,,,,,,,
152,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Male,"$0 to $9,999",Middle Atlantic
153,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,30 - 44,Male,Prefer not to answer,Middle Atlantic
154,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Male,"$200,000 and up",East North Central
155,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
156,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Very familiar,Not so familiar,60,Male,Prefer not to answer,Mountain
157,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,45 - 59,Male,"$125,000 to $149,999",Pacific
158,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$10,000 to $24,999",East North Central
159,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Extremely familiar,18 - 29,Male,"$10,000 to $24,999",West South Central
160,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
161,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",South Atlantic
162,Very worried,Somewhat worried,No,"Yes, one or more minor ones",No,,,,,,
163,Not so worried,Not at all worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",West South Central
164,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Male,"$50,000 to $74,999",Pacific
165,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,18 - 29,Male,"$75,000 to $99,999",South Atlantic
166,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",Mountain
167,Not at all worried,Somewhat worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
168,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$125,000 to $149,999",West South Central
169,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
170,Extremely worried,Very worried,Yes,No,No,Not at all familiar,Extremely familiar,18 - 29,Male,"$0 to $9,999",West South Central
171,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Not so familiar,30 - 44,Male,Prefer not to answer,Pacific
172,Not so worried,Not so worried,No,"Yes, one or more major ones",No,Very familiar,Not so familiar,45 - 59,Male,"$200,000 and up",Middle Atlantic
173,Somewhat worried,Somewhat worried,Yes,No,Yes,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",Pacific
174,Not at all worried,Not at all worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$10,000 to $24,999",West South Central
175,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Male,Prefer not to answer,New England
176,Very worried,Extremely worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,30 - 44,Male,"$10,000 to $24,999",
177,Somewhat worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
178,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",South Atlantic
179,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Male,Prefer not to answer,Mountain
180,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Male,"$125,000 to $149,999",West North Central
181,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,30 - 44,Male,"$125,000 to $149,999",South Atlantic
182,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,30 - 44,Male,Prefer not to answer,
183,Somewhat worried,Not so worried,Yes,No,No,Not at all familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,
184,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Not so familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",Pacific
185,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Male,"$50,000 to $74,999",East South Central
186,Not so worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
187,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$50,000 to $74,999",South Atlantic
188,Very worried,Very worried,No,"Yes, one or more major ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$200,000 and up",Pacific
189,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Male,Prefer not to answer,West South Central
190,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,30 - 44,Male,"$50,000 to $74,999",East North Central
191,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Male,"$75,000 to $99,999",Middle Atlantic
192,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,Prefer not to answer,Middle Atlantic
193,Not at all worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
194,Not so worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Not so familiar,60,Female,"$125,000 to $149,999",Middle Atlantic
195,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$75,000 to $99,999",New England
196,Not so worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$200,000 and up",East North Central
197,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Female,Prefer not to answer,South Atlantic
